Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2017-10-06 00:00:00,25.8,35.2,29.9,70,0,8,6,360,3,N 
2017-10-07 00:00:00,25.6,35,29.8,74,9,8,6,135,3,N 
2017-10-08 00:00:00,25.2,33,29,74,0,7.9,4,360,3,N 
2017-10-09 00:00:00,24.8,35,29.1,74,5,8,5,360,3,N 
2017-10-10 00:00:00,25.4,32.8,28.9,78,5,6.8,3,360,2,N 
2017-10-11 00:00:00,26.6,33.4,28.1,85,3,3.4,4,180,2,N 
2017-10-12 00:00:00,25.2,35.2,30.4,65,21,7.8,5,90,3,N 
2017-10-13 00:00:00,26,32.8,29.7,84,4,7.3,5,315,2,NW
2017-10-14 00:00:00,26,33.6,30.1,72,3,6.7,6,315,3,NW
2017-10-15 00:00:00,25.4,32.8,29.1,74,0,5.2,4,315,2,NW
2017-10-16 00:00:00,23,32,27.7,85,11,4.3,3,270,3,NW
2017-10-17 00:00:00,23.8,30.8,26.8,84,46,2.2,3,360,2,NW
2017-10-18 00:00:00,25.8,32.6,28.3,82,0,5.7,5,270,3,NW
2017-10-19 00:00:00,26,33,29.2,77,1,6.2,5,315,2,NW
2017-10-20 00:00:00,25.8,33.6,29.5,76,1,8,6,315,3,NW
2017-10-21 00:00:00,26.2,33.4,29.7,76,0,7.9,4,315,2,NW
2017-10-22 00:00:00,25,33.4,29.1,73,0,8,6,315,3,NW
2017-10-23 00:00:00,24.6,32.8,29,71,0,8,5,360,4,S 
2017-10-24 00:00:00,25.6,33.6,29,79,0,4.6,8,180,2,S 
2017-10-25 00:00:00,24.4,32.2,28.4,79,31,8,6,360,3,N 
2017-10-26 00:00:00,26.8,32,29.6,76,0,7.7,5,315,3,NW
2017-10-27 00:00:00,25.6,33.6,29,79,1,7.4,5,315,2,NW
2017-10-28 00:00:00,23.4,31.2,27.7,83,119,6.4,3,315,0,NW
2017-10-29 00:00:00,23,33.8,29.4,72,4,5.4,4,360,2,N 
2017-10-30 00:00:00,24.2,32.6,28.8,79,30,7.8,4,315,2,NW
2017-10-31 00:00:00,24.8,32.6,28.5,76,15,7.5,4,315,2,NW
2017-11-01 00:00:00,25.6,34,29.1,73,0,7.2,3,315,3,NW
2017-11-02 00:00:00,26,32.6,29.1,76,0,5.1,4,360,3,N 
2017-11-03 00:00:00,26.4,33,29.7,67,0,3.9,3,360,4,N 
2017-11-04 00:00:00,25.8,32.2,29.5,76,1,5.1,8,225,0,SW
2017-11-05 00:00:00,22.2,32.6,28.5,80,55,5.2,4,360,3,N 
2017-11-06 00:00:00,25.6,33.4,29.5,74,2,6.8,6,225,3,SW
2017-11-07 00:00:00,25.6,33.4,29.7,86,0,1.2,7,225,3,N 
2017-11-08 00:00:00,24.6,32.4,28.7,75,0,6.4,4,315,2,NW
2017-11-09 00:00:00,25.6,32,28.4,80,0,3.4,6,225,3,SW
2017-11-10 00:00:00,23,34,27.8,70,14,5.3,5,270,3,W 
2017-11-11 00:00:00,24,32.4,27.8,78,38,6.5,4,360,2,N 
2017-11-12 00:00:00,25.2,31,27.1,86,2,4.9,3,360,2,N 
2017-11-13 00:00:00,25.8,31.6,27.2,88,5,3.5,4,360,3,N 
2017-11-14 00:00:00,23,31.4,27.3,83,48,5.2,6,315,3,NW
2017-11-15 00:00:00,22,29.8,28.2,82,0,0.3,3,360,2,N 
2017-11-16 00:00:00,25.6,30.8,26.7,87,0,0.6,4,315,2,NW
2017-11-17 00:00:00,24.2,31.8,27.3,85,7,3.8,4,225,2,SW
2017-11-18 00:00:00,25.2,30.6,27.8,83,10,1.4,4,360,2,N 
2017-11-19 00:00:00,25.2,30.6,27.2,84,13,3.4,3,315,2,NW
2017-11-20 00:00:00,23.6,30.8,27,89,14,5.1,3,315,2,NW
2017-11-21 00:00:00,24.6,30,27.5,86,7,0.3,4,315,2,NW
2017-11-22 00:00:00,25.8,30.8,27,90,19,3.6,5,315,2,NW
2017-11-23 00:00:00,24.2,29.8,27.1,87,31,0.7,3,315,2,NW
2017-11-24 00:00:00,25.6,30.4,27.5,87,1,1.9,4,315,2,NW
2017-11-25 00:00:00,24.4,30.4,26.6,90,8,6.3,4,225,3,SW
2017-11-26 00:00:00,25,31.6,27.7,84,6,4,5,360,2,N 
2017-11-27 00:00:00,24.2,30.2,27.2,87,25,0.4,4,360,2,N 
2017-11-28 00:00:00,23,31,26.6,89,18,0,3,360,0,N 
2017-11-29 00:00:00,24.2,31.4,26.8,89,48,3.2,2,270,2,W 
2017-11-30 00:00:00,25,29.4,25.9,92,39,1.7,4,270,2,W 
2017-12-01 00:00:00,22.4,28.4,26.6,89,83,0,4,270,2,W 
2017-12-02 00:00:00,25,31.6,28.2,84,0,3.2,4,315,2,NW
2017-12-03 00:00:00,26,32.2,28.9,81,0,7.8,5,315,3,NW
2017-12-04 00:00:00,26.2,31.4,28.5,87,0,6.4,4,360,2,N 
2017-12-05 00:00:00,25,31.4,28.9,81,9,4.1,4,360,2,N 
2017-12-06 00:00:00,25,32,29,81,6,5.6,6,360,3,NW
2017-12-07 00:00:00,26.2,31.8,29,80,0,6.6,4,315,3,NW
2017-12-08 00:00:00,26,31.4,28.6,80,0,3.2,4,270,2,N 
2017-12-09 00:00:00,23.4,30.8,27.8,84,1,2.4,5,270,2,SE
2017-12-10 00:00:00,25.6,31,25.7,90,1,1.7,4,315,2,NW
2017-12-11 00:00:00,23.6,29.6,26.7,86,69,0,3,315,2,NW
2017-12-12 00:00:00,25,29.6,27.5,82,1,0,4,360,2,NW
2017-12-13 00:00:00,25.4,30.4,27.7,85,8,2.5,4,360,2,N 
2017-12-14 00:00:00,24.4,31,26.8,88,15,0.8,3,360,2,NW
2017-12-15 00:00:00,24.2,30.4,27.6,80,8,6.3,7,270,3,NW
2017-12-16 00:00:00,24,30.4,27.4,77,0,6,5,270,3,SE
2017-12-17 00:00:00,24.4,31.2,27.9,78,0,3.6,8,270,3,W 
2017-12-18 00:00:00,25,30.6,27.6,80,2,3.3,7,270,4,W 
2017-12-19 00:00:00,24.6,28.8,26.1,88,4,2.7,8,270,4,W 
2017-12-20 00:00:00,24.6,29,25.3,94,5,0,7,315,3,NW
2017-12-21 00:00:00,24,31,27.3,83,42,6.2,3,315,4,NW
2017-12-22 00:00:00,25,29.6,26.8,86,5,0,5,315,2,NW
2017-12-23 00:00:00,23.4,31.6,28.3,80,3,7.9,5,315,3,NW
2017-12-24 00:00:00,24,31.6,28.3,74,0,7.5,4,315,2,NW
2017-12-25 00:00:00,24.4,31.4,28.2,79,0,7,4,315,2,NW
2017-12-26 00:00:00,24.6,31,27.6,80,17,5.4,6,315,3,NW
2017-12-27 00:00:00,24.8,30.4,27.5,77,0,0,5,315,6,NW
2017-12-28 00:00:00,25,31.2,27.3,83,8,2.5,6,315,0,NW
2017-12-29 00:00:00,25.2,31.2,28.3,81,2,4.4,5,315,3,NW
2017-12-30 00:00:00,25.8,30.6,27.3,84,0,2.2,4,315,2,NW
2017-12-31 00:00:00,24.6,30.8,26.9,87,2,4.5,4,315,2,NW
2018-01-01 00:00:00,24,31.8,27.5,80,10,4.5,3,315,2,NW
2018-01-02 00:00:00,26.2,30.8,28.2,81,0,2.2,5,315,3,NW
2018-01-03 00:00:00,25,31.8,28,81,0,4.7,5,315,3,NW
2018-01-04 00:00:00,24,30.4,26.3,91,61,3.7,4,315,3,NW
2018-01-05 00:00:00,24.4,31.4,26.3,90,0.4,4.8,4,315,2,NW
2018-01-06 00:00:00,24.8,30.2,27.7,84,0,1.5,5,315,2,NW
